"국가별",1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021
"국가별",출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수),출생 (명),남 (명),여 (명),출생 성비 (여아100명당 남아수)
"아일랜드",-,-,-,-,53354,27508,25846,106.4,-,-,-,-,57882,-,-,-,60521,-,-,-,61485,-,-,-,61684,31817,29867,106.5,61042,31369,29673,105.7,64237,33085,31152,106.2,70620,-,-,-,75065,38593,36472,105.8,74278,38082,36196,105.2,73724,37622,36102,104.2,74845,38206,36639,104.3,72225,37210,35015,106.3,68949,35346,33603,105.2,67285,34676,32609,106.3,65537,33481,32056,104.4,63836,32707,31129,105.1,61824,31779,30045,105.8,61022,31306,29716,105.4,59289,30270,29019,104.3,-,-,-,-,-,-,-,-
"이탈리아",-,-,-,-,-,-,-,-,543039,279953,263086,106.4,-,-,-,-,-,-,-,-,531274,272974,258300,105.7,553770,284311,269459,105.5,544030,280606,263424,106.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,546607,281087,265520,105.9,534186,274613,259573,105.8,514308,264260,250048,105.7,-,-,-,-,485780,249950,235830,106.0,473438,243080,230358,105.5,458151,235733,222418,106.0,439747,226217,213530,105.9,420084,215387,204697,105.2,-,-,-,-,-,-,-,-
"라트비아",18410,9444,8966,105.3,19396,9950,9446,105.3,-,-,-,-,19664,9987,9677,103.2,20044,10273,9771,105.1,-,-,-,-,20334,10476,9858,106.3,21497,10987,10510,104.5,22264,11312,10952,103.3,23273,11838,11435,103.5,23948,12182,11766,103.5,21677,11014,10663,103.3,19219,9932,9287,106.9,18825,9649,9176,105.2,19897,10257,9640,106.4,-,-,-,-,21746,11230,10516,106.8,21979,11442,10537,108.6,21968,11385,10583,107.6,20828,10797,10031,107.6,19314,9995,9319,107.3,-,-,-,-,17552,9036,8516,106.1,-,-,-,-
"리히텐슈타인",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,395,-,-,-,347,183,164,111.6,372,186,186,100.0,381,187,194,96.4,361,184,177,104.0,351,184,167,110.2,350,190,160,118.8,406,226,180,125.6,329,165,164,100.6,395,203,192,105.7,357,189,168,112.5,339,179,160,111.9,372,208,164,126.8,325,177,148,119.6,-,-,-,-,338,176,162,108.6,378,192,186,103.2,356,182,174,104.6,-,-,-,-,-,-,-,-
"리투아니아",37019,19220,17799,108.0,36415,18756,17659,106.2,-,-,-,-,31546,16139,15407,104.8,30014,15490,14524,106.7,30598,15821,14777,107.1,30419,15513,14906,104.1,30541,15621,14920,104.7,31265,15880,15385,103.2,32346,16544,15802,104.7,35065,18040,17025,106.0,36682,18786,17896,105.0,35626,18224,17402,104.7,34385,17816,16569,107.5,30459,15560,14899,104.4,-,-,-,-,-,-,-,-,31475,16201,15274,106.1,30623,15847,14776,107.2,28696,14775,13921,106.1,28149,14362,13787,104.2,27393,14086,13307,105.9,-,-,-,-,-,-,-,-
"룩셈부르크",5386,2820,2566,109.9,-,-,-,-,-,-,-,-,4241,-,-,-,5345,2744,2601,105.5,5303,2814,2489,113.1,5452,2823,2629,107.4,5371,2784,2587,107.6,5514,2826,2688,105.1,5477,2754,2723,101.1,5596,2874,2722,105.6,5638,2916,2722,107.1,5874,2960,2914,101.6,5639,2913,2726,106.9,6026,3089,2937,105.2,6115,3129,2986,104.8,-,-,-,-,6115,3168,2947,107.5,6050,3077,2973,103.5,6174,3171,3003,105.6,6274,3196,3078,103.8,6230,3107,3123,99.5,-,-,-,-,-,-,-,-
"네덜란드",199408,102137,97271,105.0,-,-,-,-,-,-,-,-,202603,103806,98797,105.1,202083,103734,98349,105.5,200297,-,-,-,194007,99230,94777,104.7,189075,96957,92118,105.3,185057,94979,90078,105.4,181336,92560,88776,104.3,184634,94838,89796,105.6,184915,94619,90296,104.8,184397,94129,90268,104.3,180060,92353,87707,105.3,175959,90180,85779,105.1,171341,87957,83384,105.5,175181,89510,85671,104.5,170510,87427,83083,105.2,172520,88587,83933,105.5,169836,87159,82677,105.4,168525,86204,82321,104.7,169680,86893,82787,105.0,-,-,-,-,-,-,-,-
"노르웨이",58352,29870,28482,104.9,59298,30468,28830,105.7,-,-,-,-,56696,29041,27655,105.0,55434,-,-,-,-,-,-,-,56951,29192,27759,105.2,56756,29053,27703,104.9,58545,29989,28556,105.0,58459,30004,28455,105.4,60497,31136,29361,106.0,61807,31833,29974,106.2,61442,31461,29981,104.9,60220,31006,29214,106.1,60255,30933,29322,105.5,58878,30084,28794,104.5,58976,30323,28653,105.8,58815,30242,28573,105.8,58890,30386,28504,106.6,56633,29173,27460,106.2,55120,28430,26690,106.5,54495,28042,26453,106.0,-,-,-,-,-,-,-,-
"폴란드",-,-,-,-,382002,196411,185591,105.8,-,-,-,-,368205,-,-,-,353765,-,-,-,351072,180634,170438,106.0,356131,183422,172709,106.2,364383,187385,176998,105.9,374244,192518,181726,105.9,-,-,-,-,414499,212946,201553,105.7,417589,214908,202681,106.0,413300,214428,198872,107.8,388416,199921,188495,106.1,386257,198696,187561,105.9,369576,189917,179659,105.7,375160,193091,182069,106.1,369308,189677,179631,105.6,382257,196221,186036,105.5,401982,206410,195572,105.5,388178,199820,188358,106.1,374954,192685,182269,105.7,-,-,-,-,-,-,-,-
"포르투갈",-,-,-,-,-,-,-,-,-,-,-,-,112774,-,-,-,114383,-,-,-,112515,58210,54305,107.2,109298,56212,53086,105.9,109399,56612,52787,107.2,105449,54057,51392,105.2,102492,52683,49809,105.8,104594,53976,50618,106.6,99491,50873,48618,104.6,-,-,-,-,96855,49688,47167,105.3,89841,46161,43680,105.7,82787,42220,40567,104.1,82367,42427,39940,106.2,85500,43685,41815,104.5,87126,44789,42337,105.8,86154,44072,42082,104.7,87020,44309,42711,103.7,86579,44539,42040,105.9,-,-,-,-,-,-,-,-
"슬로바키아",-,-,-,-,56223,28710,27513,104.4,-,-,-,-,51136,26439,24697,107.1,50841,26015,24826,104.8,-,-,-,-,53747,27646,26101,105.9,54430,27979,26451,105.8,53904,27682,26222,105.6,54424,27903,26521,105.2,57360,29354,28006,104.8,61217,31563,29654,106.4,60410,30544,29866,102.3,60813,31114,29699,104.8,55535,28671,26864,106.7,54823,28068,26755,104.9,55033,28100,26933,104.3,55602,28668,26934,106.4,57557,29479,28078,105.0,57969,29773,28196,105.6,57639,29674,27965,106.1,57054,29143,27911,104.4,-,-,-,-,-,-,-,-
"슬로베니아",17856,9256,8600,107.6,17533,9049,8484,106.7,-,-,-,-,17477,9064,8413,107.7,17501,9025,8476,106.5,17321,8930,8391,106.4,17961,9101,8860,102.7,18157,9355,8802,106.3,18932,9762,9170,106.5,19823,10152,9671,105.0,21817,11126,10691,104.1,21856,11309,10547,107.2,22343,11504,10839,106.1,21947,11248,10699,105.1,21938,11319,10619,106.6,21111,10804,10307,104.8,21165,10928,10237,106.8,20641,10606,10035,105.7,20345,10366,9979,103.9,20241,10483,9758,107.4,19585,10157,9428,107.7,-,-,-,-,18767,9693,9074,106.8,-,-,-,-
